title,description,url,image
Todo App,A distraction-free web app to help you focus on creating and completing tasks.,https://github.com/SaiVenkatesh-Jajula/TodoWebApp,1.png
Portfolio Website,A website built entirely in Python to showcase coding projects and apps.,https://github.com/SaiVenkatesh-Jajula/my-portfolio,2.png
PDF Templates,A script that generates PDF templates of multiple pages given some predefined guidelines.,https://github.com/SaiVenkatesh-Jajula/PDF-Templates,3.png
PDF Invoices,A script that reads invoice records from Excel files and automatically generates PDF invoices.,https://github.com/SaiVenkatesh-Jajula/Invoice-Generator,4.png
Tech News Email,Daily News Email Digest gets data from a news API and scheduled sending that News to Email daily.,https://github.com/SaiVenkatesh-Jajula/News_API_Gmail,5.png
Weather API,A REST API built with Python and Flask to serve historical weather data for various cities.,https://github.com/SaiVenkatesh-Jajula/Historical-Weather-API,6.png
Weather Forecast,A data web app that visualizes the weather forecast for the next five days of any city.,https://github.com/SaiVenkatesh-Jajula/Weather-Forecast,16.png
NLP of eBook,Natural Language Processing on eBook by utilizing regular expressions and sentiment analysis.,https://github.com/SaiVenkatesh-Jajula/NLP-of-Ebook,NLP.jpg
Event Scraper,A program that checks a music band's website and sends an email when there are new tours.,https://github.com/SaiVenkatesh-Jajula/Event-Scraper,8.png
Campus Flow,A desktop PyQt6 GUI app for managing university student data with an SQL database backend.,https://github.com/SaiVenkatesh-Jajula/StudentManagementSystem_GUI_mysql,17.png
Open Domain Chatbot,A chatbot powered by AI: capable of engaging in discussions on any topic with users.,https://github.com/SaiVenkatesh-Jajula/AI-Bot-GUI,10.png
Job Application Form,An application form that receives submissions from users utilizing both Flask and Django frameworks.,https://github.com/SaiVenkatesh-Jajula/Job-Application-Form,emp.jpg
Restaurant Menu Web App,A Django web app to let customers see a restaurant menu and meal availability.,https://github.com/SaiVenkatesh-Jajula/Restaurant-Menu,19.png
Cinematic Harmony,Built Movie Recommendation Models : popularity content & collaborative filtering,https://deepnote.com/workspace/myworkspace-18f3-a3adaf1b-468e-4a7d-aec8-3df47f70509b/project/Movie-Recommendation-502de436-d5c9-4448-83da-354e0ebf7670/notebook/Content%20Filtering-20ba63b032194ee2bac738f62f5f131d,MRS.png




